SignalType=Square
Amplitude=232
Frequency=2
PointsCount=1000
time	value
0.659	232
0.66	232
0.661	232
0.662	232
0.663	232
0.664	232
0.665	232
0.666	232
0.667	232
0.668	232
0.669	232
0.67	232
0.671	232
0.672	232
0.673	232
0.674	232
0.675	232
0.676	232
0.677	232
0.678	232
0.679	232
0.68	232
0.681	232
0.682	232
0.683	232
0.684	232
0.685	232
0.686	232
0.687	232
0.6880000000000001	232
0.6890000000000001	232
0.6900000000000001	232
0.6910000000000001	232
0.6920000000000001	232
0.6930000000000001	232
0.6940000000000001	232
0.6950000000000001	232
0.6960000000000001	232
0.6970000000000001	232
0.6980000000000001	232
0.6990000000000001	232
0.7000000000000001	232
0.7010000000000001	232
0.7020000000000001	232
0.7030000000000001	232
0.704	232
0.705	232
0.706	232
0.707	232
0.708	232
0.709	232
0.71	232
0.711	232
0.712	232
0.713	232
0.714	232
0.715	232
0.716	232
0.717	232
0.718	232
0.719	232
0.72	232
0.721	232
0.722	232
0.723	232
0.724	232
0.725	232
0.726	232
0.727	232
0.728	232
0.729	232
0.73	232
0.731	232
0.732	232
0.733	232
0.734	232
0.735	232
0.736	232
0.737	232
0.738	232
0.739	232
0.74	232
0.741	232
0.742	232
0.743	232
0.744	232
0.745	232
0.746	232
0.747	232
0.748	232
0.749	232
0.75	232
0.751	-232
0.752	-232
0.753	-232
0.754	-232
0.755	-232
0.756	-232
0.757	-232
0.758	-232
0.759	-232
0.76	-232
0.761	-232
0.762	-232
0.763	-232
0.764	-232
0.765	-232
0.766	-232
0.767	-232
0.768	-232
0.769	-232
0.77	-232
0.771	-232
0.772	-232
0.773	-232
0.774	-232
0.775	-232
0.776	-232
0.777	-232
0.778	-232
0.779	-232
0.78	-232
0.781	-232
0.782	-232
0.783	-232
0.784	-232
0.785	-232
0.786	-232
0.787	-232
0.788	-232
0.789	-232
0.79	-232
0.791	-232
0.792	-232
0.793	-232
0.794	-232
0.795	-232
0.796	-232
0.797	-232
0.798	-232
0.799	-232
0.8	-232
0.801	-232
0.802	-232
0.803	-232
0.804	-232
0.805	-232
0.806	-232
0.807	-232
0.808	-232
0.809	-232
0.81	-232
0.811	-232
0.812	-232
0.8130000000000001	-232
0.8140000000000001	-232
0.8150000000000001	-232
0.8160000000000001	-232
0.8170000000000001	-232
0.8180000000000001	-232
0.8190000000000001	-232
0.8200000000000001	-232
0.8210000000000001	-232
0.8220000000000001	-232
0.8230000000000001	-232
0.8240000000000001	-232
0.8250000000000001	-232
0.8260000000000001	-232
0.8270000000000001	-232
0.8280000000000001	-232
0.8290000000000001	-232
0.8300000000000001	-232
0.8310000000000001	-232
0.8320000000000001	-232
0.833	-232
0.834	-232
0.835	-232
0.836	-232
0.837	-232
0.838	-232
0.839	-232
0.84	-232
0.841	-232
0.842	-232
0.843	-232
0.844	-232
0.845	-232
0.846	-232
0.847	-232
0.848	-232
0.849	-232
0.85	-232
0.851	-232
0.852	-232
0.853	-232
0.854	-232
0.855	-232
0.856	-232
0.857	-232
0.858	-232
0.859	-232
0.86	-232
0.861	-232
0.862	-232
0.863	-232
0.864	-232
0.865	-232
0.866	-232
0.867	-232
0.868	-232
0.869	-232
0.87	-232
0.871	-232
0.872	-232
0.873	-232
0.874	-232
0.875	-232
0.876	-232
0.877	-232
0.878	-232
0.879	-232
0.88	-232
0.881	-232
0.882	-232
0.883	-232
0.884	-232
0.885	-232
0.886	-232
0.887	-232
0.888	-232
0.889	-232
0.89	-232
0.891	-232
0.892	-232
0.893	-232
0.894	-232
0.895	-232
0.896	-232
0.897	-232
0.898	-232
0.899	-232
0.9	-232
0.901	-232
0.902	-232
0.903	-232
0.904	-232
0.905	-232
0.906	-232
0.907	-232
0.908	-232
0.909	-232
0.91	-232
0.911	-232
0.912	-232
0.913	-232
0.914	-232
0.915	-232
0.916	-232
0.917	-232
0.918	-232
0.919	-232
0.92	-232
0.921	-232
0.922	-232
0.923	-232
0.924	-232
0.925	-232
0.926	-232
0.927	-232
0.928	-232
0.929	-232
0.93	-232
0.931	-232
0.932	-232
0.933	-232
0.934	-232
0.935	-232
0.936	-232
0.937	-232
0.9380000000000001	-232
0.9390000000000001	-232
0.9400000000000001	-232
0.9410000000000001	-232
0.9420000000000001	-232
0.9430000000000001	-232
0.9440000000000001	-232
0.9450000000000001	-232
0.9460000000000001	-232
0.9470000000000001	-232
0.9480000000000001	-232
0.9490000000000001	-232
0.9500000000000001	-232
0.9510000000000001	-232
0.9520000000000001	-232
0.9530000000000001	-232
0.9540000000000001	-232
0.9550000000000001	-232
0.9560000000000001	-232
0.9570000000000001	-232
0.9580000000000001	-232
0.9590000000000001	-232
0.96	-232
0.961	-232
0.962	-232
0.963	-232
0.964	-232
0.965	-232
0.966	-232
0.967	-232
0.968	-232
0.969	-232
0.97	-232
0.971	-232
0.972	-232
0.973	-232
0.974	-232
0.975	-232
0.976	-232
0.977	-232
0.978	-232
0.979	-232
0.98	-232
0.981	-232
0.982	-232
0.983	-232
0.984	-232
0.985	-232
0.986	-232
0.987	-232
0.988	-232
0.989	-232
0.99	-232
0.991	-232
0.992	-232
0.993	-232
0.994	-232
0.995	-232
0.996	-232
0.997	-232
0.998	-232
0.999	-232
